Years,TotalPrisoners,TotalAdmits,TotalReleases,TotalUSPop,DUI,curfew_loitering,disorderly_conduct,drug_violations,drunkeness,liquor,property,vagrancy,violence,weapons,SentGT1Yr,SentLT1Yr,Unsentenced,AdmitProbation,AdmitParole,AdmitOCR,TotPrisonerRate,TotAdmitRate,TotReleaseRate,SentGT1YrRate,SentLT1YrRate,UnsentRate,AdmProbRate,AdmitParoleRate,AdmitOCRRate
1998,1307154,615226,561020,275854104,508.5,68.1,252.3,565.2,257.5,228.5,654.6,11.0,233.8,69.1,1256474,24886,25794,381646,64440,145342,473.8570066733537,223.02586442578357,203.37562206433586,455.4849762177183,9.021435475906495,9.35059497972885,138.35066959888331,23.360174478317713,52.68799626051603
1999,1363686,625807,583013,279040168,541.6,59.9,226.9,549.1,235.1,235.8,589.3,10.8,217.6,61.8,1304081,32391,28218,375796,74324,127839,488.70598443733735,224.27129559354336,208.93515230395073,467.34526048593835,11.608006199308194,10.11252258133675,134.67451754114484,26.635591761828355,45.813834229056226
2000,1394231,666077,643061,282162411,521.4,54.8,226.4,559.8,226.0,242.1,574.5,11.5,211.9,56.4,1334174,31109,28678,389734,77269,130486,494.1235776440824,236.06156384877218,227.90455954815326,472.8390274493366,11.025210583418213,10.163650040543493,138.1239969628697,27.384583129324053,46.24499753087238
2001,1404032,648197,635561,284968955,503.5,50.1,218.1,556.9,217.1,214.3,567.9,9.8,210.5,58.2,1345217,31126,27536,405422,177178,42886,492.69647635827556,227.4623212904016,223.02815406681756,472.057386040525,10.922593304944392,9.662806953831163,142.26883065209682,62.174491954746436,15.049358622240096
2002,1440144,668738,640349,287625193,508.2,49.1,232.9,535.0,199.1,227.3,561.1,9.5,205.9,57.2,1380516,32690,27449,433959,160007,53448,500.70161969435,232.50327727724462,222.63314048432468,479.9704732401518,11.365485637414244,9.543322583707054,150.8765610806561,55.63038422715635,18.582516865968692
2003,1468601,697878,662857,290107933,499.2,47.0,220.4,578.5,189.1,211.0,553.3,10.0,196.7,57.9,1408361,30912,28308,445556,65529,139533,506.22572944256575,240.5580546465098,228.4863406337806,485.4610439074067,10.65534460927685,9.75774764490842,153.5828391152613,22.587800106796802,48.09692673933188
2004,1497100,709578,680587,292805298,489.5,46.9,224.6,596.5,188.8,209.2,561.5,12.4,191.4,60.0,1433728,32560,29623,457096,85921,140290,511.2953932957866,242.3378281905268,232.43670952975722,489.6523422878776,11.120017370723941,10.11696174978364,156.1091971771631,29.344072865785375,47.91238442686922
2005,1525910,740800,708984,295516599,464.2,47.7,229.5,624.8,188.2,202.3,544.6,11.2,195.6,65.5,1462866,32842,30201,470149,96270,143290,516.353397800169,250.6796580993408,239.9134269950095,495.019909186218,11.11341972367515,10.219730499808575,159.09393976207747,32.576850277029614,48.48797004462006
2006,1568674,754196,713531,298379912,489.5,51.2,235.8,633.4,185.4,216.4,516.2,12.2,196.7,67.3,1504598,33543,30551,492315,189613,56958,525.730431879744,252.7636645995123,239.1350661702722,504.2557958794491,11.241708523595248,10.238960054388647,164.99602694433398,63.54750851994353,19.089086667469758
2007,1596835,754144,727360,301231207,473.9,47.5,235.4,611.2,195.7,210.4,534.5,11.2,190.6,62.7,1532851,33575,30409,479710,201824,50951,530.1027791586016,250.35387518797148,241.46236614853785,508.8619520088435,11.145923536401725,10.094903613356369,159.24976856730518,66.99969834134748,16.91425018922425
2008,1608282,750392,740976,304093966,487.8,43.8,225.6,559.9,200.9,205.8,554.9,11.1,188.2,59.1,1547742,33174,27366,477100,204671,48364,528.8766565003134,246.76319950393227,243.6667881795458,508.9683364516348,10.909128002888423,8.999192045790215,156.892294271962,67.30518289863075,15.90429452980333
2009,1615487,736796,738992,306771529,469.5,36.7,213.6,542.3,193.7,185.9,563.4,10.9,182.7,54.2,1553574,34496,27417,474997,191277,51070,526.6091691318591,240.17743836977778,240.89328054951278,506.4270485153138,11.244850561083195,8.937270055462024,154.83738062276308,62.351614122573935,16.647568360230718
2010,1613803,708923,714231,309327143,456.6,30.6,198.9,529.8,181.3,165.8,531.5,10.4,172.0,51.4,1552669,32362,26686,458360,184682,47235,521.7139964985226,229.18228032772413,230.89826294357883,501.95045444169125,10.462062813543653,8.627112299679437,148.1796894881611,59.70442755487514,15.27024093065121
2011,1598968,676793,696306,311583481,390.0,24.7,186.9,491.5,171.5,160.7,526.4,9.4,165.4,49.3,1538847,32838,25432,454526,158064,47233,513.174830343461,217.21080906724964,223.4733361875497,493.87951988379,10.539069624169198,8.162178533463397,145.876154455056,50.72926186353249,15.15901929345221
2012,1570397,613337,642820,313877662,408.8,22.4,173.3,494.7,162.9,140.7,524.6,8.6,160.3,47.6,1512430,31016,26666,444214,106635,46089,500.3213640606256,195.40638734590803,204.7995374707487,481.8533406815041,9.881556974258334,8.495666697045806,141.5245663452151,33.973427519668476,14.683746433666247
2013,1576950,634244,629949,316059947,369.3,17.8,148.1,475.0,140.4,112.3,493.5,8.2,146.7,43.6,1520403,39307,24637,454819,108296,49847,498.94015833648166,200.67205794981672,199.31313852938158,481.04893215083655,12.436564763456092,7.795040223809187,143.90276411708695,34.26438592676218,15.771375168901107
2014,1562319,630762,641961,318386329,351.2,16.9,137.0,490.5,130.3,100.9,488.2,8.6,150.1,44.2,1507781,29726,24584,448993,111018,53207,490.69914682172174,198.11214946983483,201.62957436529885,473.56964249554824,9.33645615167101,7.721437059566713,141.02144442263412,34.868959464650885,16.711458738544017
2015,1526603,612952,646881,320738994,339.7,14.0,120.4,464.3,126.6,83.0,456.3,7.8,150.6,45.3,1476847,26211,23302,429074,108383,56243,475.9642664465051,191.10616777703058,201.6845510215699,460.4513413171085,8.172065289947252,7.265097302138448,133.77668697183728,33.791650540626186,17.535441917611053
2016,1508129,610561,630656,323071755,315.2,10.6,114.5,487.0,116.6,72.7,419.0,7.7,152.2,48.5,1459948,23797,24028,419028,112302,61166,466.8093006149671,188.98618977075233,195.20617022060625,451.89589538707895,7.3658559226262295,7.437357066389168,129.70121761340604,34.760698904179975,18.93263618789578
2017,1489189,611187,627612,325122128,304.8,9.3,108.7,502.5,112.9,63.8,384.6,7.2,152.4,50.8,1439877,25449,23870,418579,102986,71224,458.0398784791418,187.9868970345814,193.0388447752778,442.8726549181543,7.827520124991308,7.341856473085092,128.74515880383262,31.676096805075044,21.906844802639824
2018,1465158,600284,620407,326838199,306.5,6.7,100.8,506.4,100.6,53.0,357.3,7.2,151.8,51.5,1414162,26946,23810,410867,99344,70319,448.2823624909278,183.66396640191988,189.82083547706736,432.67953511150023,8.244446359833233,7.284950190292782,125.70960226102581,30.395467942227892,21.51492702356985
